,dep_id,site_name,latitude,longitude,commodities,Gold,Silver,Lead,Copper,Mercury,Tungsten,Sulfur-Pyrite,Zinc,Iron,Sulfur,Barium-Barite,Antimony,Tellurium,Fluorine-Fluorite,Uranium,Tin,Tantalum,Lithium,Niobium,Manganese,Silica,Phosphorous-Phosphates,Limestone,Stone,Gypsum-Anhydrite,Sand/Gravel,Vanadium,Sodium,Molybdenum,Feldspar,Calcium,Talc-Soapstone
60,10298966,Hoodoo Shaft,44.32936,-103.66747,"Gold,  ,  Silver, , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,10298974,Anchor Mountain,44.33636,-103.67477,"Gold,  ,  , , , , , , , , ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,10299313,Crown Point Mine,44.32606,-103.67087,"Gold,  ,  , , , , , , , , ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,10299657,Eureka Shaft,44.33326,-103.67417,"Gold,  ,  Silver, , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,10304579,Sunday Pit,44.33056,-103.66997,"Gold,  ,  Silver, , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,60000051,Lead District,44.33326,-103.70057,"Gold,  Tungsten,  Barium-Barite,  Antimony, , , , , , , ",1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,60001242,Lexington Hill Gold Mining Company,44.35886,-103.70977,"Silver,  Gold,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,10055430,Homestake Mine - 1945,44.36265,-103.79454,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,10055431,Homestake Mine - 1946,44.36265,-103.79454,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,10055432,Homestake Mine - 1947,44.36265,-103.79454,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
